,title,img_url,brand,price,discount_price
0,Latest Exlusive Affordable Collection of Trendy & Styli...,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/o/l/z/10-snappy02-10-roddick-shoes-black-original-imagpnfjyfxxfujp.jpeg?q=70,RODDICK SHOES,₹449,₹999
1,High Tops For Men,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/k/i/6/6-jimny-white-6-sfr-white-original-imagnp4zhejww3uf.jpeg?q=70,SFR,₹339,₹999
2,Sneakers For Men,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/p/a/q/6-3399-whitehub-white-original-imagbfzygjff8ngp-bb.jpeg?q=70,Layasa,₹249,₹999
3,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,https://rukminim1.flixcart.com/image/612/612/l51d30w0/shoe/z/w/c/10-mrj1914-10-aadi-white-black-red-original-imagft9k9hydnfjp.jpeg?q=70,aadi,₹249,"₹1,999"
4,Modern Trendy Shoes Sneakers For Men,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/1/i/u/-original-imaggcb7ndjv7fue.jpeg?q=70,BRUTON,₹279,"₹1,299"
5,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/s/j/i/6-mrj1906-6-aadi-white-grey-original-imagdfyfmxk7thzb-bb.jpeg?q=70,aadi,₹429,"₹1,999"
6,FAST Trendy Loafers For Men,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/p/i/e/6-f1rst-full-black-6-hotstyle-white-original-imaghmz9xa2yk8m9.jpeg?q=70,HOTSTYLE,₹279,"₹1,499"
7,Numenzo Black Sneaker For Men Sneakers For Men,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/3/c/b/-original-imaghvb58zvq3gun.jpeg?q=70,Numenzo,₹369,₹999
8,Stylish & Trending Outdoor Walking Comfortable Sneakers...,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/f/d/y/6-2082-white-walkers-black-original-imag5y96qxxpey5q-bb.jpeg?q=70,WHITE WALKERS,₹399,"₹1,499"
9,Slip On Sneakers For Men,https://rukminim1.flixcart.com/image/612/612/l071d3k0/shopsy-shoe/w/o/n/6-shpf22-6-sukun-grey-original-imagcfevr66vedvz.jpeg?q=70,SUKUN,₹299,₹999
10,Casuals For Men,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/l/t/l/8-rkt-19039-black-42-atom-black-original-imagzmhf7d8fgd38.jpeg?q=70,ATOM,"₹1,595","₹3,295"
11,"asian Pride White Sneakers,Casuals,Walking,Loafers,Styl...",https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/x/j/j/7-na-pride-323cwht-7-asian-white-original-imagzcj2dr7ggvsz.jpeg?q=70,asian,₹474,₹999
12,Sneakers For Men,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/c/d/i/7-95000215-41-roamra-white-original-imag4ahytjmqdzz8-bb.jpeg?q=70,Labbin,₹399,₹999
13,High Tops For Men,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/k/i/6/6-jimny-white-6-sfr-white-original-imagnp4zhejww3uf.jpeg?q=70,SFR,₹339,₹999
14,Combo Pack Of 2 Sneakers For Men,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/g/c/3/10-fashion-star-white-10-hotstyle-white-black-original-imagzu8eh2azhrbr.jpeg?q=70,HOTSTYLE,₹449,"₹1,998"
15,Sneakers For Men,https://rukminim1.flixcart.com/image/612/612/kr83ukw0/shoe/f/l/s/6-95489-40-robbie-jones-black-original-imag52e4z66wsjhz.jpeg?q=70,Labbin,₹399,₹999
16,Venom Casual/Running/Gym/Outdoor/Walking/Fashion/Latest...,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/h/n/4/7-fc-venom-blk-7-7-field-care-black-original-imagq6djzt7gu3hf.jpeg?q=70,Field Care,₹899,"₹1,999"
17,Sneakers For Men,https://rukminim1.flixcart.com/image/612/612/kuh9yfk0/shoe/x/i/v/6-rpd134-rapidbox-white-original-imag7h6qj97vyryv.jpeg?q=70,RapidBox,₹549,₹999
18,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/q/4/a/4-mrj1992-4-aadi-white-black-yellow-original-imagg3kryyszam65.jpeg?q=70,aadi,₹249,"₹1,999"
19,Stylish & Trending Outdoor Walking Comfortable Sneakers...,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/v/c/g/8-2082-white-walkers-white-original-imag5y96fmgrfugx-bb.jpeg?q=70,WHITE WALKERS,₹399,"₹1,499"
20,Combo Pack Of 2 Casual Shoes Sneakers For Men,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/6/y/c/10-au-brd-797-brd-685-birde-white-black-original-imagmhgyzkuwa8ph.jpeg?q=70,BIRDE,₹499,₹999
21,Club Sneakers For Men,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/q/a/j/-original-imagqfwbykax3wuw.jpeg?q=70,PUMA,"₹3,299","₹5,999"
22,Sneakers For Men,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/d/b/c/8-mrj2099-8-aadi-white-original-imagmkfyfyfn9kc8.jpeg?q=70,aadi,₹349,"₹1,999"
23,Modern Trendy Sneakers Shoes Sneakers For Men,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/r/n/i/-original-imagg5r9at3rfpdq.jpeg?q=70,BRUTON,₹279,"₹1,299"
24,Casual Sneakers Colour Blocked Shoes For Boys And Men S...,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/t/h/o/6-786-labbin-brown-original-imagngj44gw4mzvd.jpeg?q=70,Robbie jones,₹479,"₹1,999"
25,Fashion and Stylish Soft Ultralight Lace Up Sneakers Ca...,https://rukminim1.flixcart.com/image/612/612/kjhgzgw0-0/shoe/g/j/s/kc034-gry-k-footlance-grey-original-imafzfmk64pmd2h4.jpeg?q=70,K' Footlance,₹299,₹999
26,Stylish & Trending Outdoor Walking Comfortable Sneakers...,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/f/d/y/6-2082-white-walkers-black-original-imag5y96qxxpey5q-bb.jpeg?q=70,WHITE WALKERS,₹399,"₹1,499"
27,Men's Casual Trendy Comfort Party Stylish Fashion Sneak...,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/f/o/s/7-delight-white-grey-7-field-care-white-original-imagq6fanvfgtgdz.jpeg?q=70,Field Care,₹899,"₹1,999"
28,Casuals For Men,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/l/t/l/8-rkt-19039-black-42-atom-black-original-imagzmhf7d8fgd38.jpeg?q=70,ATOM,"₹1,595","₹3,295"
29,Fashionable Canvas Casual Partywear Outdoor Sneakers wh...,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/c/o/d/9-black-line-9-kardam-sons-black-and-white-original-imaghxz6rv2uwhkp.jpeg?q=70,kardam&sons,₹360,"₹1,299"
30,Ever FS Sneakers For Men,https://rukminim1.flixcart.com/image/612/612/l407mvk0/shoe/v/t/l/-original-imagezy6qqhdyfct.jpeg?q=70,PUMA,"₹2,749","₹5,499"
31,Men's Dunk Casual Sports Comfort Stylish Latest Fashion...,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/l/p/o/8-fc-09-black-8-field-care-black-original-imagpryp25p27ubn.jpeg?q=70,Field Care,₹899,"₹1,999"
32,Sneakers For Men,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/3/p/q/7-rainbow3-7-ezdezario-sky-blue-original-imaggnagzwwfhehh.jpeg?q=70,EZDEZARIO,₹429,₹999
33,Sneakers For Men,https://rukminim1.flixcart.com/image/612/612/l3q7jww0/shoe/v/m/d/7-zigzag-7-brainer-blue-original-images4krxwdd7ap.jpeg?q=70,Brainer,₹299,₹999
34,Sneakers For Men,https://rukminim1.flixcart.com/image/612/612/kuof5ow0/shoe/f/i/q/6-rpd103-6-rapidbox-white-original-imag7qu9m7bmhngf.jpeg?q=70,RapidBox,₹549,₹999
35,Latest Exclusive Affordable Collection of Trendy & Styl...,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/t/6/w/9-vs-9500-9-world-wear-footwear-white-original-imagn6a5fqbncryj.jpeg?q=70,World Wear Footwear,₹369,"₹1,999"
36,Sneakers For Men,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/1/y/g/11-atm03-2004-11-rapidbox-white-black-original-imagpzr86pysecg3.jpeg?q=70,RapidBox,₹699,₹999
37,Basket Classic XXI Sneakers For Men,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/4/m/v/-original-imagqe2zngyf9ggm.jpeg?q=70,PUMA,"₹3,249","₹6,499"
38,Mens Breathable Black Sneakers Running Shoes Fitness Sp...,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/w/p/m/9-165-blk-krors-black-original-imagkgyavs8mse7z.jpeg?q=70,Krors,₹399,₹999
39,Modern Trendy Sneakers boot Sneakers Sneakers For Men,https://rukminim1.flixcart.com/image/612/612/xif0q/shoe/b/b/w/7-rockey-7-magnolia-black-original-imaggutzktz6hecw.jpeg?q=70,Magnolia,₹399,"₹1,299"
